"date","hits","keyword","geo","time","gprop","category"
"2021-12-26",74,"flu","US","2022-01-01 2024-12-31","web",0
"2022-01-02",72,"flu","US","2022-01-01 2024-12-31","web",0
"2022-01-09",51,"flu","US","2022-01-01 2024-12-31","web",0
"2022-01-16",33,"flu","US","2022-01-01 2024-12-31","web",0
"2022-01-23",27,"flu","US","2022-01-01 2024-12-31","web",0
"2022-01-30",23,"flu","US","2022-01-01 2024-12-31","web",0
"2022-02-06",22,"flu","US","2022-01-01 2024-12-31","web",0
"2022-02-13",23,"flu","US","2022-01-01 2024-12-31","web",0
"2022-02-20",24,"flu","US","2022-01-01 2024-12-31","web",0
"2022-02-27",22,"flu","US","2022-01-01 2024-12-31","web",0
"2022-03-06",24,"flu","US","2022-01-01 2024-12-31","web",0
"2022-03-13",27,"flu","US","2022-01-01 2024-12-31","web",0
"2022-03-20",24,"flu","US","2022-01-01 2024-12-31","web",0
"2022-03-27",26,"flu","US","2022-01-01 2024-12-31","web",0
"2022-04-03",31,"flu","US","2022-01-01 2024-12-31","web",0
"2022-04-10",29,"flu","US","2022-01-01 2024-12-31","web",0
"2022-04-17",30,"flu","US","2022-01-01 2024-12-31","web",0
"2022-04-24",31,"flu","US","2022-01-01 2024-12-31","web",0
"2022-05-01",27,"flu","US","2022-01-01 2024-12-31","web",0
"2022-05-08",27,"flu","US","2022-01-01 2024-12-31","web",0
"2022-05-15",25,"flu","US","2022-01-01 2024-12-31","web",0
"2022-05-22",20,"flu","US","2022-01-01 2024-12-31","web",0
"2022-05-29",20,"flu","US","2022-01-01 2024-12-31","web",0
"2022-06-05",19,"flu","US","2022-01-01 2024-12-31","web",0
"2022-06-12",17,"flu","US","2022-01-01 2024-12-31","web",0
"2022-06-19",16,"flu","US","2022-01-01 2024-12-31","web",0
"2022-06-26",15,"flu","US","2022-01-01 2024-12-31","web",0
"2022-07-03",20,"flu","US","2022-01-01 2024-12-31","web",0
"2022-07-10",14,"flu","US","2022-01-01 2024-12-31","web",0
"2022-07-17",14,"flu","US","2022-01-01 2024-12-31","web",0
"2022-07-24",13,"flu","US","2022-01-01 2024-12-31","web",0
"2022-07-31",14,"flu","US","2022-01-01 2024-12-31","web",0
"2022-08-07",14,"flu","US","2022-01-01 2024-12-31","web",0
"2022-08-14",15,"flu","US","2022-01-01 2024-12-31","web",0
"2022-08-21",21,"flu","US","2022-01-01 2024-12-31","web",0
"2022-08-28",21,"flu","US","2022-01-01 2024-12-31","web",0
"2022-09-04",26,"flu","US","2022-01-01 2024-12-31","web",0
"2022-09-11",35,"flu","US","2022-01-01 2024-12-31","web",0
"2022-09-18",40,"flu","US","2022-01-01 2024-12-31","web",0
"2022-09-25",45,"flu","US","2022-01-01 2024-12-31","web",0
"2022-10-02",53,"flu","US","2022-01-01 2024-12-31","web",0
"2022-10-09",64,"flu","US","2022-01-01 2024-12-31","web",0
"2022-10-16",69,"flu","US","2022-01-01 2024-12-31","web",0
"2022-10-23",84,"flu","US","2022-01-01 2024-12-31","web",0
"2022-10-30",88,"flu","US","2022-01-01 2024-12-31","web",0
"2022-11-06",81,"flu","US","2022-01-01 2024-12-31","web",0
"2022-11-13",84,"flu","US","2022-01-01 2024-12-31","web",0
"2022-11-20",96,"flu","US","2022-01-01 2024-12-31","web",0
"2022-11-27",99,"flu","US","2022-01-01 2024-12-31","web",0
"2022-12-04",98,"flu","US","2022-01-01 2024-12-31","web",0
"2022-12-11",94,"flu","US","2022-01-01 2024-12-31","web",0
"2022-12-18",85,"flu","US","2022-01-01 2024-12-31","web",0
"2022-12-25",70,"flu","US","2022-01-01 2024-12-31","web",0
"2023-01-01",47,"flu","US","2022-01-01 2024-12-31","web",0
"2023-01-08",35,"flu","US","2022-01-01 2024-12-31","web",0
"2023-01-15",33,"flu","US","2022-01-01 2024-12-31","web",0
"2023-01-22",29,"flu","US","2022-01-01 2024-12-31","web",0
"2023-01-29",27,"flu","US","2022-01-01 2024-12-31","web",0
"2023-02-05",29,"flu","US","2022-01-01 2024-12-31","web",0
"2023-02-12",26,"flu","US","2022-01-01 2024-12-31","web",0
"2023-02-19",28,"flu","US","2022-01-01 2024-12-31","web",0
"2023-02-26",25,"flu","US","2022-01-01 2024-12-31","web",0
"2023-03-05",23,"flu","US","2022-01-01 2024-12-31","web",0
"2023-03-12",22,"flu","US","2022-01-01 2024-12-31","web",0
"2023-03-19",23,"flu","US","2022-01-01 2024-12-31","web",0
"2023-03-26",19,"flu","US","2022-01-01 2024-12-31","web",0
"2023-04-02",18,"flu","US","2022-01-01 2024-12-31","web",0
"2023-04-09",18,"flu","US","2022-01-01 2024-12-31","web",0
"2023-04-16",16,"flu","US","2022-01-01 2024-12-31","web",0
"2023-04-23",16,"flu","US","2022-01-01 2024-12-31","web",0
"2023-04-30",16,"flu","US","2022-01-01 2024-12-31","web",0
"2023-05-07",16,"flu","US","2022-01-01 2024-12-31","web",0
"2023-05-14",15,"flu","US","2022-01-01 2024-12-31","web",0
"2023-05-21",14,"flu","US","2022-01-01 2024-12-31","web",0
"2023-05-28",13,"flu","US","2022-01-01 2024-12-31","web",0
"2023-06-04",12,"flu","US","2022-01-01 2024-12-31","web",0
"2023-06-11",12,"flu","US","2022-01-01 2024-12-31","web",0
"2023-06-18",11,"flu","US","2022-01-01 2024-12-31","web",0
"2023-06-25",11,"flu","US","2022-01-01 2024-12-31","web",0
"2023-07-02",11,"flu","US","2022-01-01 2024-12-31","web",0
"2023-07-09",10,"flu","US","2022-01-01 2024-12-31","web",0
"2023-07-16",10,"flu","US","2022-01-01 2024-12-31","web",0
"2023-07-23",11,"flu","US","2022-01-01 2024-12-31","web",0
"2023-07-30",12,"flu","US","2022-01-01 2024-12-31","web",0
"2023-08-06",14,"flu","US","2022-01-01 2024-12-31","web",0
"2023-08-13",15,"flu","US","2022-01-01 2024-12-31","web",0
"2023-08-20",18,"flu","US","2022-01-01 2024-12-31","web",0
"2023-08-27",22,"flu","US","2022-01-01 2024-12-31","web",0
"2023-09-03",27,"flu","US","2022-01-01 2024-12-31","web",0
"2023-09-10",33,"flu","US","2022-01-01 2024-12-31","web",0
"2023-09-17",39,"flu","US","2022-01-01 2024-12-31","web",0
"2023-09-24",43,"flu","US","2022-01-01 2024-12-31","web",0
"2023-10-01",46,"flu","US","2022-01-01 2024-12-31","web",0
"2023-10-08",45,"flu","US","2022-01-01 2024-12-31","web",0
"2023-10-15",46,"flu","US","2022-01-01 2024-12-31","web",0
"2023-10-22",43,"flu","US","2022-01-01 2024-12-31","web",0
"2023-10-29",44,"flu","US","2022-01-01 2024-12-31","web",0
"2023-11-05",44,"flu","US","2022-01-01 2024-12-31","web",0
"2023-11-12",41,"flu","US","2022-01-01 2024-12-31","web",0
"2023-11-19",38,"flu","US","2022-01-01 2024-12-31","web",0
"2023-11-26",46,"flu","US","2022-01-01 2024-12-31","web",0
"2023-12-03",45,"flu","US","2022-01-01 2024-12-31","web",0
"2023-12-10",55,"flu","US","2022-01-01 2024-12-31","web",0
"2023-12-17",74,"flu","US","2022-01-01 2024-12-31","web",0
"2023-12-24",77,"flu","US","2022-01-01 2024-12-31","web",0
"2023-12-31",67,"flu","US","2022-01-01 2024-12-31","web",0
"2024-01-07",52,"flu","US","2022-01-01 2024-12-31","web",0
"2024-01-14",41,"flu","US","2022-01-01 2024-12-31","web",0
"2024-01-21",42,"flu","US","2022-01-01 2024-12-31","web",0
"2024-01-28",45,"flu","US","2022-01-01 2024-12-31","web",0
"2024-02-04",44,"flu","US","2022-01-01 2024-12-31","web",0
"2024-02-11",41,"flu","US","2022-01-01 2024-12-31","web",0
"2024-02-18",44,"flu","US","2022-01-01 2024-12-31","web",0
"2024-02-25",39,"flu","US","2022-01-01 2024-12-31","web",0
"2024-03-03",34,"flu","US","2022-01-01 2024-12-31","web",0
"2024-03-10",29,"flu","US","2022-01-01 2024-12-31","web",0
"2024-03-17",27,"flu","US","2022-01-01 2024-12-31","web",0
"2024-03-24",25,"flu","US","2022-01-01 2024-12-31","web",0
"2024-03-31",32,"flu","US","2022-01-01 2024-12-31","web",0
"2024-04-07",24,"flu","US","2022-01-01 2024-12-31","web",0
"2024-04-14",21,"flu","US","2022-01-01 2024-12-31","web",0
"2024-04-21",25,"flu","US","2022-01-01 2024-12-31","web",0
"2024-04-28",24,"flu","US","2022-01-01 2024-12-31","web",0
"2024-05-05",19,"flu","US","2022-01-01 2024-12-31","web",0
"2024-05-12",18,"flu","US","2022-01-01 2024-12-31","web",0
"2024-05-19",18,"flu","US","2022-01-01 2024-12-31","web",0
"2024-05-26",17,"flu","US","2022-01-01 2024-12-31","web",0
"2024-06-02",19,"flu","US","2022-01-01 2024-12-31","web",0
"2024-06-09",16,"flu","US","2022-01-01 2024-12-31","web",0
"2024-06-16",18,"flu","US","2022-01-01 2024-12-31","web",0
"2024-06-23",14,"flu","US","2022-01-01 2024-12-31","web",0
"2024-06-30",13,"flu","US","2022-01-01 2024-12-31","web",0
"2024-07-07",14,"flu","US","2022-01-01 2024-12-31","web",0
"2024-07-14",15,"flu","US","2022-01-01 2024-12-31","web",0
"2024-07-21",14,"flu","US","2022-01-01 2024-12-31","web",0
"2024-07-28",15,"flu","US","2022-01-01 2024-12-31","web",0
"2024-08-04",14,"flu","US","2022-01-01 2024-12-31","web",0
"2024-08-11",17,"flu","US","2022-01-01 2024-12-31","web",0
"2024-08-18",20,"flu","US","2022-01-01 2024-12-31","web",0
"2024-08-25",22,"flu","US","2022-01-01 2024-12-31","web",0
"2024-09-01",27,"flu","US","2022-01-01 2024-12-31","web",0
"2024-09-08",32,"flu","US","2022-01-01 2024-12-31","web",0
"2024-09-15",35,"flu","US","2022-01-01 2024-12-31","web",0
"2024-09-22",38,"flu","US","2022-01-01 2024-12-31","web",0
"2024-09-29",42,"flu","US","2022-01-01 2024-12-31","web",0
"2024-10-06",40,"flu","US","2022-01-01 2024-12-31","web",0
"2024-10-13",40,"flu","US","2022-01-01 2024-12-31","web",0
"2024-10-20",39,"flu","US","2022-01-01 2024-12-31","web",0
"2024-10-27",38,"flu","US","2022-01-01 2024-12-31","web",0
"2024-11-03",33,"flu","US","2022-01-01 2024-12-31","web",0
"2024-11-10",38,"flu","US","2022-01-01 2024-12-31","web",0
"2024-11-17",37,"flu","US","2022-01-01 2024-12-31","web",0
"2024-11-24",35,"flu","US","2022-01-01 2024-12-31","web",0
"2024-12-01",38,"flu","US","2022-01-01 2024-12-31","web",0
"2024-12-08",44,"flu","US","2022-01-01 2024-12-31","web",0
"2024-12-15",76,"flu","US","2022-01-01 2024-12-31","web",0
"2024-12-22",91,"flu","US","2022-01-01 2024-12-31","web",0
"2024-12-29",100,"flu","US","2022-01-01 2024-12-31","web",0
"2021-12-26",6,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-01-02",8,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-01-09",5,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-01-16",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-01-23",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-01-30",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-02-06",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-02-13",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-02-20",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-02-27",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-03-06",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-03-13",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-03-20",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-03-27",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-04-03",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-04-10",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-04-17",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-04-24",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-05-01",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-05-08",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-05-15",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-05-22",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-05-29",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-06-05",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-06-12",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-06-19",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-06-26",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-07-03",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-07-10",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-07-17",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-07-24",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-07-31",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-08-07",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-08-14",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-08-21",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-08-28",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-09-04",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-09-11",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-09-18",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-09-25",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-10-02",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-10-09",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-10-16",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-10-23",5,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-10-30",6,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-11-06",7,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-11-13",9,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-11-20",11,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-11-27",13,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-12-04",14,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-12-11",15,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-12-18",12,"influenza","US","2022-01-01 2024-12-31","web",0
"2022-12-25",9,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-01-01",6,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-01-08",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-01-15",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-01-22",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-01-29",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-02-05",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-02-12",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-02-19",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-02-26",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-03-05",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-03-12",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-03-19",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-03-26",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-04-02",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-04-09",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-04-16",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-04-23",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-04-30",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-05-07",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-05-14",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-05-21",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-05-28",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-06-04",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-06-11",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-06-18",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-06-25",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-07-02",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-07-09",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-07-16",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-07-23",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-07-30",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-08-06",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-08-13",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-08-20",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-08-27",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-09-03",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-09-10",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-09-17",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-09-24",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-10-01",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-10-08",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-10-15",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-10-22",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-10-29",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-11-05",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-11-12",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-11-19",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-11-26",5,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-12-03",5,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-12-10",6,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-12-17",8,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-12-24",8,"influenza","US","2022-01-01 2024-12-31","web",0
"2023-12-31",7,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-01-07",6,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-01-14",5,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-01-21",6,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-01-28",7,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-02-04",8,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-02-11",7,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-02-18",8,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-02-25",7,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-03-03",7,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-03-10",5,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-03-17",5,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-03-24",5,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-03-31",6,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-04-07",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-04-14",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-04-21",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-04-28",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-05-05",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-05-12",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-05-19",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-05-26",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-06-02",6,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-06-09",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-06-16",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-06-23",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-06-30",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-07-07",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-07-14",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-07-21",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-07-28",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-08-04",1,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-08-11",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-08-18",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-08-25",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-09-01",2,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-09-08",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-09-15",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-09-22",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-09-29",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-10-06",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-10-13",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-10-20",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-10-27",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-11-03",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-11-10",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-11-17",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-11-24",3,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-12-01",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-12-08",4,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-12-15",7,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-12-22",9,"influenza","US","2022-01-01 2024-12-31","web",0
"2024-12-29",11,"influenza","US","2022-01-01 2024-12-31","web",0
"2021-12-26",15,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-01-02",13,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-01-09",15,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-01-16",11,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-01-23",12,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-01-30",12,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-02-06",15,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-02-13",17,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-02-20",18,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-02-27",25,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-03-06",26,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-03-13",32,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-03-20",39,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-03-27",46,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-04-03",48,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-04-10",55,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-04-17",47,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-04-24",51,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-05-01",41,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-05-08",50,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-05-15",50,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-05-22",43,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-05-29",50,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-06-05",43,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-06-12",31,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-06-19",28,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-06-26",24,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-07-03",18,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-07-10",18,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-07-17",16,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-07-24",16,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-07-31",15,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-08-07",16,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-08-14",17,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-08-21",18,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-08-28",22,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-09-04",19,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-09-11",20,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-09-18",19,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-09-25",18,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-10-02",16,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-10-09",16,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-10-16",15,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-10-23",13,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-10-30",12,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-11-06",12,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-11-13",10,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-11-20",8,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-11-27",9,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-12-04",10,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-12-11",9,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-12-18",8,"pollen","US","2022-01-01 2024-12-31","web",0
"2022-12-25",9,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-01-01",11,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-01-08",13,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-01-15",12,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-01-22",13,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-01-29",12,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-02-05",16,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-02-12",17,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-02-19",25,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-02-26",39,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-03-05",47,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-03-12",31,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-03-19",37,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-03-26",40,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-04-02",39,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-04-09",56,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-04-16",61,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-04-23",48,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-04-30",41,"pollen","US","2022-01-01 2024-12-31","web",0
"2023-05-07",53,"pollen","US","2022-01-01 2024-12-31","web",0
