"date","hits","keyword","geo","time","gprop","category"
2021-12-26,23,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-01-02,26,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-01-09,26,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-01-16,22,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-01-23,27,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-01-30,26,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-02-06,29,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-02-13,30,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-02-20,29,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-02-27,29,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-03-06,27,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-03-13,28,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-03-20,29,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-03-27,28,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-04-03,29,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-04-10,28,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-04-17,28,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-04-24,27,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-05-01,28,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-05-08,30,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-05-15,29,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-05-22,27,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-05-29,31,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-06-05,29,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-06-12,35,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-06-19,35,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-06-26,33,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-07-03,35,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-07-10,34,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-07-17,37,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-07-24,34,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-07-31,32,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-08-07,31,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-08-14,27,"dehydration","US","2022-01-01 2024-12-31","web",0
2022-08-21,29,"dehydration","US","2022-01-01 2024-12-31","web",0
