"date","hits","keyword","geo","time","gprop","category"
2021-12-26,15,"pollen","US","2022-01-01 2024-12-31","web",0
2022-01-02,13,"pollen","US","2022-01-01 2024-12-31","web",0
2022-01-09,15,"pollen","US","2022-01-01 2024-12-31","web",0
2022-01-16,11,"pollen","US","2022-01-01 2024-12-31","web",0
2022-01-23,12,"pollen","US","2022-01-01 2024-12-31","web",0
2022-01-30,12,"pollen","US","2022-01-01 2024-12-31","web",0
2022-02-06,15,"pollen","US","2022-01-01 2024-12-31","web",0
2022-02-13,17,"pollen","US","2022-01-01 2024-12-31","web",0
2022-02-20,18,"pollen","US","2022-01-01 2024-12-31","web",0
2022-02-27,25,"pollen","US","2022-01-01 2024-12-31","web",0
2022-03-06,26,"pollen","US","2022-01-01 2024-12-31","web",0
2022-03-13,32,"pollen","US","2022-01-01 2024-12-31","web",0
2022-03-20,39,"pollen","US","2022-01-01 2024-12-31","web",0
2022-03-27,46,"pollen","US","2022-01-01 2024-12-31","web",0
2022-04-03,48,"pollen","US","2022-01-01 2024-12-31","web",0
2022-04-10,55,"pollen","US","2022-01-01 2024-12-31","web",0
2022-04-17,47,"pollen","US","2022-01-01 2024-12-31","web",0
2022-04-24,51,"pollen","US","2022-01-01 2024-12-31","web",0
2022-05-01,41,"pollen","US","2022-01-01 2024-12-31","web",0
2022-05-08,50,"pollen","US","2022-01-01 2024-12-31","web",0
2022-05-15,50,"pollen","US","2022-01-01 2024-12-31","web",0
2022-05-22,43,"pollen","US","2022-01-01 2024-12-31","web",0
2022-05-29,50,"pollen","US","2022-01-01 2024-12-31","web",0
2022-06-05,43,"pollen","US","2022-01-01 2024-12-31","web",0
2022-06-12,31,"pollen","US","2022-01-01 2024-12-31","web",0
2022-06-19,28,"pollen","US","2022-01-01 2024-12-31","web",0
2022-06-26,24,"pollen","US","2022-01-01 2024-12-31","web",0
2022-07-03,18,"pollen","US","2022-01-01 2024-12-31","web",0
2022-07-10,18,"pollen","US","2022-01-01 2024-12-31","web",0
2022-07-17,16,"pollen","US","2022-01-01 2024-12-31","web",0
2022-07-24,16,"pollen","US","2022-01-01 2024-12-31","web",0
2022-07-31,15,"pollen","US","2022-01-01 2024-12-31","web",0
2022-08-07,16,"pollen","US","2022-01-01 2024-12-31","web",0
2022-08-14,17,"pollen","US","2022-01-01 2024-12-31","web",0
2022-08-21,18,"pollen","US","2022-01-01 2024-12-31","web",0
2022-08-28,22,"pollen","US","2022-01-01 2024-12-31","web",0
2022-09-04,19,"pollen","US","2022-01-01 2024-12-31","web",0
2022-09-11,20,"pollen","US","2022-01-01 2024-12-31","web",0
2022-09-18,19,"pollen","US","2022-01-01 2024-12-31","web",0
2022-09-25,18,"pollen","US","2022-01-01 2024-12-31","web",0
2022-10-02,16,"pollen","US","2022-01-01 2024-12-31","web",0
2022-10-09,16,"pollen","US","2022-01-01 2024-12-31","web",0
2022-10-16,15,"pollen","US","2022-01-01 2024-12-31","web",0
2022-10-23,13,"pollen","US","2022-01-01 2024-12-31","web",0
2022-10-30,12,"pollen","US","2022-01-01 2024-12-31","web",0
2022-11-06,12,"pollen","US","2022-01-01 2024-12-31","web",0
2022-11-13,10,"pollen","US","2022-01-01 2024-12-31","web",0
2022-11-20,8,"pollen","US","2022-01-01 2024-12-31","web",0
2022-11-27,9,"pollen","US","2022-01-01 2024-12-31","web",0
2022-12-04,10,"pollen","US","2022-01-01 2024-12-31","web",0
2022-12-11,9,"pollen","US","2022-01-01 2024-12-31","web",0
2022-12-18,8,"pollen","US","2022-01-01 2024-12-31","web",0
2022-12-25,9,"pollen","US","2022-01-01 2024-12-31","web",0
2023-01-01,11,"pollen","US","2022-01-01 2024-12-31","web",0
2023-01-08,13,"pollen","US","2022-01-01 2024-12-31","web",0
2023-01-15,12,"pollen","US","2022-01-01 2024-12-31","web",0
2023-01-22,13,"pollen","US","2022-01-01 2024-12-31","web",0
2023-01-29,12,"pollen","US","2022-01-01 2024-12-31","web",0
2023-02-05,16,"pollen","US","2022-01-01 2024-12-31","web",0
2023-02-12,17,"pollen","US","2022-01-01 2024-12-31","web",0
2023-02-19,25,"pollen","US","2022-01-01 2024-12-31","web",0
2023-02-26,39,"pollen","US","2022-01-01 2024-12-31","web",0
2023-03-05,47,"pollen","US","2022-01-01 2024-12-31","web",0
2023-03-12,31,"pollen","US","2022-01-01 2024-12-31","web",0
2023-03-19,37,"pollen","US","2022-01-01 2024-12-31","web",0
2023-03-26,40,"pollen","US","2022-01-01 2024-12-31","web",0
2023-04-02,39,"pollen","US","2022-01-01 2024-12-31","web",0
2023-04-09,56,"pollen","US","2022-01-01 2024-12-31","web",0
2023-04-16,61,"pollen","US","2022-01-01 2024-12-31","web",0
2023-04-23,48,"pollen","US","2022-01-01 2024-12-31","web",0
2023-04-30,41,"pollen","US","2022-01-01 2024-12-31","web",0
2023-05-07,53,"pollen","US","2022-01-01 2024-12-31","web",0
2023-05-14,52,"pollen","US","2022-01-01 2024-12-31","web",0
2023-05-21,46,"pollen","US","2022-01-01 2024-12-31","web",0
2023-05-28,40,"pollen","US","2022-01-01 2024-12-31","web",0
2023-06-04,35,"pollen","US","2022-01-01 2024-12-31","web",0
2023-06-11,27,"pollen","US","2022-01-01 2024-12-31","web",0
2023-06-18,21,"pollen","US","2022-01-01 2024-12-31","web",0
2023-06-25,22,"pollen","US","2022-01-01 2024-12-31","web",0
2023-07-02,18,"pollen","US","2022-01-01 2024-12-31","web",0
2023-07-09,16,"pollen","US","2022-01-01 2024-12-31","web",0
2023-07-16,23,"pollen","US","2022-01-01 2024-12-31","web",0
2023-07-23,16,"pollen","US","2022-01-01 2024-12-31","web",0
2023-07-30,29,"pollen","US","2022-01-01 2024-12-31","web",0
2023-08-06,18,"pollen","US","2022-01-01 2024-12-31","web",0
2023-08-13,18,"pollen","US","2022-01-01 2024-12-31","web",0
2023-08-20,19,"pollen","US","2022-01-01 2024-12-31","web",0
2023-08-27,20,"pollen","US","2022-01-01 2024-12-31","web",0
2023-09-03,22,"pollen","US","2022-01-01 2024-12-31","web",0
2023-09-10,20,"pollen","US","2022-01-01 2024-12-31","web",0
2023-09-17,22,"pollen","US","2022-01-01 2024-12-31","web",0
2023-09-24,20,"pollen","US","2022-01-01 2024-12-31","web",0
2023-10-01,19,"pollen","US","2022-01-01 2024-12-31","web",0
2023-10-08,16,"pollen","US","2022-01-01 2024-12-31","web",0
2023-10-15,15,"pollen","US","2022-01-01 2024-12-31","web",0
2023-10-22,15,"pollen","US","2022-01-01 2024-12-31","web",0
2023-10-29,13,"pollen","US","2022-01-01 2024-12-31","web",0
2023-11-05,14,"pollen","US","2022-01-01 2024-12-31","web",0
2023-11-12,13,"pollen","US","2022-01-01 2024-12-31","web",0
2023-11-19,10,"pollen","US","2022-01-01 2024-12-31","web",0
2023-11-26,10,"pollen","US","2022-01-01 2024-12-31","web",0
2023-12-03,11,"pollen","US","2022-01-01 2024-12-31","web",0
2023-12-10,11,"pollen","US","2022-01-01 2024-12-31","web",0
2023-12-17,10,"pollen","US","2022-01-01 2024-12-31","web",0
2023-12-24,10,"pollen","US","2022-01-01 2024-12-31","web",0
2023-12-31,12,"pollen","US","2022-01-01 2024-12-31","web",0
2024-01-07,14,"pollen","US","2022-01-01 2024-12-31","web",0
2024-01-14,11,"pollen","US","2022-01-01 2024-12-31","web",0
2024-01-21,11,"pollen","US","2022-01-01 2024-12-31","web",0
2024-01-28,14,"pollen","US","2022-01-01 2024-12-31","web",0
2024-02-04,17,"pollen","US","2022-01-01 2024-12-31","web",0
2024-02-11,17,"pollen","US","2022-01-01 2024-12-31","web",0
2024-02-18,22,"pollen","US","2022-01-01 2024-12-31","web",0
2024-02-25,28,"pollen","US","2022-01-01 2024-12-31","web",0
2024-03-03,38,"pollen","US","2022-01-01 2024-12-31","web",0
2024-03-10,46,"pollen","US","2022-01-01 2024-12-31","web",0
2024-03-17,50,"pollen","US","2022-01-01 2024-12-31","web",0
2024-03-24,46,"pollen","US","2022-01-01 2024-12-31","web",0
2024-03-31,52,"pollen","US","2022-01-01 2024-12-31","web",0
2024-04-07,48,"pollen","US","2022-01-01 2024-12-31","web",0
2024-04-14,61,"pollen","US","2022-01-01 2024-12-31","web",0
2024-04-21,54,"pollen","US","2022-01-01 2024-12-31","web",0
2024-04-28,59,"pollen","US","2022-01-01 2024-12-31","web",0
2024-05-05,51,"pollen","US","2022-01-01 2024-12-31","web",0
2024-05-12,47,"pollen","US","2022-01-01 2024-12-31","web",0
2024-05-19,48,"pollen","US","2022-01-01 2024-12-31","web",0
2024-05-26,43,"pollen","US","2022-01-01 2024-12-31","web",0
2024-06-02,44,"pollen","US","2022-01-01 2024-12-31","web",0
2024-06-09,35,"pollen","US","2022-01-01 2024-12-31","web",0
2024-06-16,31,"pollen","US","2022-01-01 2024-12-31","web",0
2024-06-23,22,"pollen","US","2022-01-01 2024-12-31","web",0
2024-06-30,19,"pollen","US","2022-01-01 2024-12-31","web",0
2024-07-07,16,"pollen","US","2022-01-01 2024-12-31","web",0
2024-07-14,15,"pollen","US","2022-01-01 2024-12-31","web",0
2024-07-21,16,"pollen","US","2022-01-01 2024-12-31","web",0
2024-07-28,15,"pollen","US","2022-01-01 2024-12-31","web",0
2024-08-04,15,"pollen","US","2022-01-01 2024-12-31","web",0
2024-08-11,17,"pollen","US","2022-01-01 2024-12-31","web",0
2024-08-18,20,"pollen","US","2022-01-01 2024-12-31","web",0
2024-08-25,20,"pollen","US","2022-01-01 2024-12-31","web",0
2024-09-01,23,"pollen","US","2022-01-01 2024-12-31","web",0
2024-09-08,23,"pollen","US","2022-01-01 2024-12-31","web",0
2024-09-15,21,"pollen","US","2022-01-01 2024-12-31","web",0
2024-09-22,18,"pollen","US","2022-01-01 2024-12-31","web",0
2024-09-29,18,"pollen","US","2022-01-01 2024-12-31","web",0
2024-10-06,17,"pollen","US","2022-01-01 2024-12-31","web",0
2024-10-13,14,"pollen","US","2022-01-01 2024-12-31","web",0
2024-10-20,16,"pollen","US","2022-01-01 2024-12-31","web",0
2024-10-27,14,"pollen","US","2022-01-01 2024-12-31","web",0
2024-11-03,12,"pollen","US","2022-01-01 2024-12-31","web",0
2024-11-10,11,"pollen","US","2022-01-01 2024-12-31","web",0
2024-11-17,12,"pollen","US","2022-01-01 2024-12-31","web",0
2024-11-24,10,"pollen","US","2022-01-01 2024-12-31","web",0
2024-12-01,11,"pollen","US","2022-01-01 2024-12-31","web",0
2024-12-08,10,"pollen","US","2022-01-01 2024-12-31","web",0
2024-12-15,10,"pollen","US","2022-01-01 2024-12-31","web",0
2024-12-22,9,"pollen","US","2022-01-01 2024-12-31","web",0
2024-12-29,10,"pollen","US","2022-01-01 2024-12-31","web",0
2021-12-26,48,"allergies","US","2022-01-01 2024-12-31","web",0
2022-01-02,44,"allergies","US","2022-01-01 2024-12-31","web",0
2022-01-09,41,"allergies","US","2022-01-01 2024-12-31","web",0
2022-01-16,35,"allergies","US","2022-01-01 2024-12-31","web",0
2022-01-23,36,"allergies","US","2022-01-01 2024-12-31","web",0
2022-01-30,37,"allergies","US","2022-01-01 2024-12-31","web",0
2022-02-06,41,"allergies","US","2022-01-01 2024-12-31","web",0
2022-02-13,41,"allergies","US","2022-01-01 2024-12-31","web",0
2022-02-20,42,"allergies","US","2022-01-01 2024-12-31","web",0
2022-02-27,51,"allergies","US","2022-01-01 2024-12-31","web",0
2022-03-06,55,"allergies","US","2022-01-01 2024-12-31","web",0
2022-03-13,67,"allergies","US","2022-01-01 2024-12-31","web",0
2022-03-20,78,"allergies","US","2022-01-01 2024-12-31","web",0
2022-03-27,72,"allergies","US","2022-01-01 2024-12-31","web",0
2022-04-03,78,"allergies","US","2022-01-01 2024-12-31","web",0
2022-04-10,83,"allergies","US","2022-01-01 2024-12-31","web",0
2022-04-17,78,"allergies","US","2022-01-01 2024-12-31","web",0
2022-04-24,83,"allergies","US","2022-01-01 2024-12-31","web",0
2022-05-01,75,"allergies","US","2022-01-01 2024-12-31","web",0
2022-05-08,90,"allergies","US","2022-01-01 2024-12-31","web",0
2022-05-15,89,"allergies","US","2022-01-01 2024-12-31","web",0
2022-05-22,76,"allergies","US","2022-01-01 2024-12-31","web",0
2022-05-29,73,"allergies","US","2022-01-01 2024-12-31","web",0
2022-06-05,66,"allergies","US","2022-01-01 2024-12-31","web",0
2022-06-12,58,"allergies","US","2022-01-01 2024-12-31","web",0
2022-06-19,59,"allergies","US","2022-01-01 2024-12-31","web",0
2022-06-26,50,"allergies","US","2022-01-01 2024-12-31","web",0
2022-07-03,47,"allergies","US","2022-01-01 2024-12-31","web",0
