"date","hits","keyword","geo","time","gprop","category"
2021-12-26,73,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-01-02,84,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-01-09,90,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-01-16,88,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-01-23,97,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-01-30,98,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-02-06,91,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-02-13,83,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-02-20,81,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-02-27,84,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-03-06,72,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-03-13,78,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-03-20,71,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-03-27,70,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-04-03,67,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-04-10,70,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-04-17,67,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-04-24,69,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-05-01,61,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-05-08,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-05-15,61,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-05-22,58,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-05-29,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-06-05,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-06-12,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-06-19,66,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-06-26,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-07-03,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-07-10,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-07-17,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-07-24,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-07-31,57,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-08-07,64,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-08-14,63,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-08-21,57,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-08-28,55,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-09-04,54,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-09-11,56,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-09-18,58,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-09-25,57,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-10-02,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-10-09,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-10-16,68,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-10-23,65,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-10-30,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-11-06,60,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-11-13,78,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-11-20,93,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-11-27,70,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-12-04,68,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-12-11,69,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-12-18,82,"dry skin","US","2022-01-01 2024-12-31","web",0
2022-12-25,93,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-01-01,69,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-01-08,73,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-01-15,79,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-01-22,80,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-01-29,83,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-02-05,85,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-02-12,75,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-02-19,81,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-02-26,73,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-03-05,74,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-03-12,80,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-03-19,77,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-03-26,72,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-04-02,70,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-04-09,74,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-04-16,74,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-04-23,70,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-04-30,66,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-05-07,65,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-05-14,63,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-05-21,65,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-05-28,70,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-06-04,66,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-06-11,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-06-18,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-06-25,63,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-07-02,64,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-07-09,63,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-07-16,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-07-23,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-07-30,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-08-06,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-08-13,60,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-08-20,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-08-27,57,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-09-03,58,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-09-10,54,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-09-17,58,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-09-24,57,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-10-01,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-10-08,64,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-10-15,65,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-10-22,64,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-10-29,74,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-11-05,72,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-11-12,75,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-11-19,74,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-11-26,89,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-12-03,75,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-12-10,75,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-12-17,79,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-12-24,73,"dry skin","US","2022-01-01 2024-12-31","web",0
2023-12-31,84,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-01-07,85,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-01-14,98,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-01-21,93,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-01-28,69,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-02-04,75,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-02-11,70,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-02-18,86,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-02-25,74,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-03-03,67,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-03-10,69,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-03-17,80,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-03-24,78,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-03-31,72,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-04-07,71,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-04-14,67,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-04-21,70,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-04-28,63,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-05-05,60,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-05-12,58,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-05-19,61,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-05-26,65,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-06-02,64,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-06-09,63,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-06-16,63,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-06-23,63,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-06-30,61,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-07-07,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-07-14,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-07-21,61,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-07-28,63,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-08-04,57,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-08-11,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-08-18,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-08-25,57,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-09-01,57,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-09-08,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-09-15,59,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-09-22,57,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-09-29,62,"dry skin","US","2022-01-01 2024-12-31","web",0
2024-10-06,62,"dry skin","US","2022-01-01 2024-12-31","web",0
